id,1997-1998,1998-2001,2001-2002,2002-2005,2005-2006,2006-2009,2009-2010,縣市,鄉鎮,1994藍代表,1994綠代表,1994藍得票,1994綠得票,1997藍代表,1997綠代表,1997藍得票,1997綠得票,1998藍代表,1998綠代表,1998藍得票,1998綠得票,2001藍代表,2001綠代表,2001藍得票,2001綠得票,2002藍代表,2002綠代表,2002藍得票,2002綠得票,2005藍代表,2005綠代表,2005藍得票,2005綠得票,2006藍代表,2006綠代表,2006藍得票,2006綠得票,2009藍代表,2009綠代表,2009藍得票,2009綠得票,2010藍代表,2010綠代表,2010藍得票,2010綠得票
10002040,58.451877483019,58.451877483019,68.163237954835,68.163237954835,70.3066400794075,70.306647940075,64.462102689487,,宜蘭縣,頭城鎮,,,,,9122,6484,廖風德,劉守成,,,,,10172,4751,呂國華,劉守成,,,,,12014,5074,呂國華,陳定南,,,,,10546,5814,呂國華,林聰賢,,,,
10002050,49.339723109691,49.339723109691,51.518501279963,51.518501279963,54.379749435202,54.379749435202,47.576955074875,,宜蘭縣,礁溪鄉,,,,,9266,9514,廖風德,劉守成,,,,,8855,8333,呂國華,劉守成,,,,,10591,8885,呂國華,陳定南,,,,,9150,10082,呂國華,林聰賢,,,,
10002060,46.260739633919,46.260739633919,45.908265962712,45.908265962712,50.006846501438,50.006846501438,44.512623841483,,宜蘭縣,壯圍鄉,,,,,6192,7193,廖風德,劉守成,,,,,5565,6557,呂國華,劉守成,,,,,7304,7302,呂國華,陳定南,,,,,6964,8681,呂國華,林聰賢,,,,
10002070,43.05210165585,43.05210165585,49.007329395859,49.007329395859,47.465765605549,47.465765605549,40.245333959385,,宜蘭縣,員山鄉,,,,,7098,9389,廖風德,劉守成,,,,,6887,7166,呂國華,劉守成,,,,,8007,8862,呂國華,陳定南,,,,,6857,10181,呂國華,林聰賢,,,,
10002080,39.576723526557,39.576723526557,38.058855631586,38.058855631586,41.343233209585,41.343233209585,35.872269836881,,宜蘭縣,冬山鄉,,,,,10603,16188,廖風德,劉守成,,,,,9066,14755,呂國華,劉守成,,,,,11025,15642,呂國華,陳定南,,,,,10380,18556,呂國華,林聰賢,,,,
10002090,37.590945836702,37.590945836702,37.555443265398,37.555443265398,41.515571672355,41.515571672355,36.353104726599,,宜蘭縣,五結鄉,,,,,7440,12352,廖風德,劉守成,,,,,6689,11122,呂國華,劉守成,,,,,7785,10967,呂國華,陳定南,,,,,7845,13735,呂國華,林聰賢,,,,
10002100,35.288552507096,35.288552507096,37.916134734361,37.916134734361,40.787455258224,40.787455258224,37.363426110535,,宜蘭縣,三星鄉,,,,,4103,7524,廖風德,劉守成,,,,,3861,6322,呂國華,劉守成,,,,,4786,6948,呂國華,陳定南,,,,,4685,7854,呂國華,林聰賢,,,,
10002110,75.141242937853,75.141242937853,70.5859375,70.5859375,83.702956989247,83.702956989247,76.565656565657,,宜蘭縣,大同鄉,,,,,1862,616,廖風德,劉守成,,,,,1807,753,呂國華,劉守成,,,,,2491,485,呂國華,陳定南,,,,,2653,812,呂國華,林聰賢,,,,
10002120,80.627615062762,80.627615062762,87.016229712859,87.016229712859,90.423011844332,90.423011844332,85.561160151324,,宜蘭縣,南澳鄉,,,,,1927,463,廖風德,劉守成,,,,,2091,312,呂國華,劉守成,,,,,2672,283,呂國華,陳定南,,,,,2714,458,呂國華,林聰賢,,,,
10003010,37.236882902126,37.236882902126,57.408194807211,57.408194807211,60.861112923217,60.861112923217,50.815526073258,,桃園縣,桃園市,,,,,43235,72873,陳根德,呂秀蓮,,,,,85060,63107,朱立倫,彭紹瑾,,,,,93294,59996,朱立倫,鄭寶清,,,,,71127,68844,吳志揚,鄭文燦,,,,
10003070,44.390054991867,44.390054991867,59.045162298958,59.045162298958,62.587804734077,62.587804734077,51.831305423799,,桃園縣,龜山鄉,,,,,57312,71798,陳根德,呂秀蓮,,,,,90642,62871,朱立倫,彭紹瑾,,,,,31809,19014,朱立倫,鄭寶清,,,,,25133,23357,吳志揚,鄭文燦,,,,
10003080,45.010222688843,45.010222688843,52.32549210331,52.32549210331,65.712392678685,65.712392678685,54.133149467555,,桃園縣,八德市,,,,,16291,19903,陳根德,呂秀蓮,,,,,20442,18625,朱立倫,彭紹瑾,,,,,47606,24840,朱立倫,鄭寶清,,,,,35330,29935,吳志揚,鄭文燦,,,,
10003050,38.201656645503,38.201656645503,50.968359515222,50.968359515222,55.966691838276,55.966691838276,46.811099806492,,桃園縣,蘆竹鄉,,,,,18171,29395,陳根德,呂秀蓮,,,,,29817,28684,朱立倫,彭紹瑾,,,,,27422,21575,朱立倫,鄭寶清,,,,,23465,26662,吳志揚,鄭文燦,,,,
10003060,37.678441809823,37.678441809823,50.923845765898,50.923845765898,53.18477138867,53.18477138867,45.476114695755,,桃園縣,大園鄉,,,,,12458,20606,陳根德,呂秀蓮,,,,,22214,21408,朱立倫,彭紹瑾,,,,,17518,15420,朱立倫,鄭寶清,,,,,15717,18844,吳志揚,鄭文燦,,,,
10003030,53.80253802538,53.80253802538,48.969572415368,48.969572415368,54.504321301474,54.504321301474,47.94227281886,,桃園縣,大溪鎮,,,,,17934,15399,陳根德,呂秀蓮,,,,,17156,17878,朱立倫,彭紹瑾,,,,,21442,17898,朱立倫,鄭寶清,,,,,19035,20669,吳志揚,鄭文燦,,,,
