村里,當選人,落選人,偏藍比率,藍得票數,綠得票數,COUNTY_ID,TOWN_ID,VILLAGE_ID,OBJECT_ID
宜蘭縣壯圍鄉新社村,林聰賢,呂國華,0.47163120567376,399,447,10002,10002060,012,376
宜蘭縣壯圍鄉大福村,林聰賢,呂國華,0.4906976744186,633,657,10002,10002060,013,377
宜蘭縣員山鄉員山村,林聰賢,呂國華,0.47876823338736,1477,1608,10002,10002070,001,379
宜蘭縣員山鄉尚德村,林聰賢,呂國華,0.39546191247974,488,746,10002,10002070,002,380
宜蘭縣員山鄉惠好村,林聰賢,呂國華,0.33660130718954,309,609,10002,10002070,003,398
宜蘭縣員山鄉七賢村,林聰賢,呂國華,0.46805555555556,337,383,10002,10002070,004,399
宜蘭縣員山鄉深溝村,林聰賢,呂國華,0.32694248234107,324,667,10002,10002070,005,400
宜蘭縣員山鄉蓁巷村,林聰賢,呂國華,0.33419023136247,260,518,10002,10002070,006,401
宜蘭縣員山鄉內城村,呂國華,林聰賢,0.57221006564551,523,391,10002,10002070,007,402
宜蘭縣員山鄉中華村,林聰賢,呂國華,0.34140969162996,155,299,10002,10002070,008,403
宜蘭縣員山鄉永和村,林聰賢,呂國華,0.43238270469181,470,617,10002,10002070,009,404
宜蘭縣員山鄉頭分村,林聰賢,呂國華,0.39827373612824,323,488,10002,10002070,010,405
宜蘭縣員山鄉枕山村,林聰賢,呂國華,0.33420365535248,512,1020,10002,10002070,011,406
宜蘭縣員山鄉同樂村,林聰賢,呂國華,0.38940628637951,669,1049,10002,10002070,012,407
宜蘭縣員山鄉湖東村,林聰賢,呂國華,0.3978102189781,218,330,10002,10002070,013,408
宜蘭縣員山鄉逸仙村,林聰賢,呂國華,0.35590277777778,205,371,10002,10002070,014,409
宜蘭縣員山鄉湖北村,林聰賢,呂國華,0.41021897810219,281,404,10002,10002070,015,410
宜蘭縣員山鄉湖西村,林聰賢,呂國華,0.31003039513678,306,681,10002,10002070,016,411
宜蘭縣冬山鄉珍珠村,林聰賢,呂國華,0.30827067669173,328,736,10002,10002080,002,413
宜蘭縣冬山鄉補城村,林聰賢,呂國華,0.32914923291492,236,481,10002,10002080,003,414
宜蘭縣冬山鄉三奇村,林聰賢,呂國華,0.31637519872814,199,430,10002,10002080,004,415
宜蘭縣冬山鄉大興村,林聰賢,呂國華,0.38148667601683,272,441,10002,10002080,005,416
宜蘭縣冬山鄉東城村,林聰賢,呂國華,0.38338658146965,360,579,10002,10002080,006,417
宜蘭縣冬山鄉香和村,林聰賢,呂國華,0.37668161434978,588,973,10002,10002080,007,381
宜蘭縣冬山鄉南興村,林聰賢,呂國華,0.40812821980538,713,1034,10002,10002080,008,382
宜蘭縣冬山鄉安平村,林聰賢,呂國華,0.27099236641221,142,382,10002,10002080,010,384
宜蘭縣冬山鄉冬山村,林聰賢,呂國華,0.38858195211786,211,332,10002,10002080,009,383
宜蘭縣冬山鄉太和村,林聰賢,呂國華,0.36372453928225,375,656,10002,10002080,011,385
宜蘭縣冬山鄉八寶村,林聰賢,呂國華,0.34991423670669,204,379,10002,10002080,012,386
宜蘭縣冬山鄉丸山村,林聰賢,呂國華,0.33225458468177,308,619,10002,10002080,013,387
宜蘭縣冬山鄉中山村,林聰賢,呂國華,0.30965909090909,109,243,10002,10002080,014,388
宜蘭縣冬山鄉順安村,林聰賢,呂國華,0.34195402298851,1071,2061,10002,10002080,015,389
宜蘭縣冬山鄉永美村,林聰賢,呂國華,0.38100752750434,658,1069,10002,10002080,016,390
宜蘭縣冬山鄉武淵村,林聰賢,呂國華,0.29262086513995,230,556,10002,10002080,001,412
宜蘭縣冬山鄉群英村,林聰賢,呂國華,0.37673557543968,1221,2020,10002,10002080,017,391
宜蘭縣冬山鄉清溝村,林聰賢,呂國華,0.3739982190561,840,1406,10002,10002080,018,392
宜蘭縣冬山鄉鹿埔村,林聰賢,呂國華,0.35392535392535,550,1004,10002,10002080,019,393
宜蘭縣冬山鄉得安村,林聰賢,呂國華,0.3894297635605,280,439,10002,10002080,020,394
宜蘭縣冬山鄉廣興村,林聰賢,呂國華,0.36802507836991,587,1008,10002,10002080,021,7797
宜蘭縣冬山鄉廣安村,林聰賢,呂國華,0.36014967259121,385,684,10002,10002080,022,395
宜蘭縣冬山鄉柯林村,林聰賢,呂國華,0.35215946843854,318,585,10002,10002080,023,396
宜蘭縣冬山鄉大進村,林聰賢,呂國華,0.30757097791798,195,439,10002,10002080,024,397
宜蘭縣五結鄉三興村,林聰賢,呂國華,0.31065573770492,379,841,10002,10002090,001,503
宜蘭縣五結鄉二結村,林聰賢,呂國華,0.44556113902848,532,662,10002,10002090,002,504
宜蘭縣五結鄉鎮安村,林聰賢,呂國華,0.35129740518962,528,975,10002,10002090,003,505
宜蘭縣五結鄉上四村,林聰賢,呂國華,0.41625371655104,420,589,10002,10002090,004,506
宜蘭縣五結鄉中興村,林聰賢,呂國華,0.38238841978287,317,512,10002,10002090,005,507
宜蘭縣五結鄉四結村,林聰賢,呂國華,0.43922305764411,701,895,10002,10002090,006,508
宜蘭縣五結鄉福興村,林聰賢,呂國華,0.3353711790393,384,761,10002,10002090,007,509
宜蘭縣五結鄉五結村,林聰賢,呂國華,0.39660056657224,840,1278,10002,10002090,008,510
宜蘭縣五結鄉協和村,林聰賢,呂國華,0.33899204244032,639,1246,10002,10002090,010,425
宜蘭縣五結鄉大吉村,林聰賢,呂國華,0.3745247148289,788,1316,10002,10002090,009,424
宜蘭縣五結鄉孝威村,林聰賢,呂國華,0.30801248699272,296,665,10002,10002090,011,426
宜蘭縣五結鄉錦眾村,林聰賢,呂國華,0.31386138613861,317,693,10002,10002090,012,427
宜蘭縣五結鄉利澤村,林聰賢,呂國華,0.34130434782609,471,909,10002,10002090,013,428
宜蘭縣五結鄉成興村,林聰賢,呂國華,0.32589285714286,584,1208,10002,10002090,014,429
宜蘭縣五結鄉季新村,林聰賢,呂國華,0.35387131952017,649,1185,10002,10002090,015,430
宜蘭縣三星鄉員山村,林聰賢,呂國華,0.35714285714286,70,126,10002,10002100,001,431
宜蘭縣三星鄉天山村,林聰賢,呂國華,0.390625,150,234,10002,10002100,002,432
宜蘭縣三星鄉天福村,林聰賢,呂國華,0.33269230769231,173,347,10002,10002100,003,433
宜蘭縣三星鄉萬德村,林聰賢,呂國華,0.40712468193384,160,233,10002,10002100,012,459
宜蘭縣三星鄉貴林村,呂國華,林聰賢,0.56643356643357,162,124,10002,10002100,013,460
宜蘭縣三星鄉萬富村,林聰賢,呂國華,0.42061855670103,204,281,10002,10002100,014,461
宜蘭縣三星鄉雙賢村,林聰賢,呂國華,0.31617647058824,129,279,10002,10002100,004,434
宜蘭縣三星鄉人和村,林聰賢,呂國華,0.4578313253012,152,180,10002,10002100,005,435
宜蘭縣三星鄉義德村,林聰賢,呂國華,0.49830124575311,440,443,10002,10002100,006,436
宜蘭縣三星鄉集慶村,林聰賢,呂國華,0.42370892018779,361,491,10002,10002100,007,437
宜蘭縣三星鄉月眉村,林聰賢,呂國華,0.42434210526316,258,350,10002,10002100,008,438
宜蘭縣三星鄉拱照村,林聰賢,呂國華,0.3234100135318,239,500,10002,10002100,009,439
宜蘭縣三星鄉行健村,林聰賢,呂國華,0.3049504950495,154,351,10002,10002100,011,458
宜蘭縣三星鄉大隱村,林聰賢,呂國華,0.40311347808275,984,1457,10002,10002100,010,440
宜蘭縣三星鄉大義村,林聰賢,呂國華,0.31030444964871,265,589,10002,10002100,015,462
宜蘭縣三星鄉尚武村,林聰賢,呂國華,0.33934426229508,207,403,10002,10002100,016,463
宜蘭縣三星鄉大洲村,林聰賢,呂國華,0.28127853881279,308,787,10002,10002100,017,464
宜蘭縣三星鄉尾塹村,林聰賢,呂國華,0.2837552742616,269,679,10002,10002100,018,7744
宜蘭縣大同鄉寒溪村,呂國華,林聰賢,0.75716694772344,449,144,10002,10002110,001,465
宜蘭縣大同鄉崙埤村,呂國華,林聰賢,0.82957393483709,331,68,10002,10002110,002,466
宜蘭縣大同鄉松羅村,呂國華,林聰賢,0.71816283924843,344,135,10002,10002110,003,467
宜蘭縣大同鄉復興村,呂國華,林聰賢,0.65482233502538,129,68,10002,10002110,004,468
宜蘭縣大同鄉英士村,呂國華,林聰賢,0.71146245059289,180,73,10002,10002110,005,3176
宜蘭縣大同鄉樂水村,呂國華,林聰賢,0.81060606060606,214,50,10002,10002110,006,469
宜蘭縣大同鄉太平村,林聰賢,呂國華,0.42857142857143,24,32,10002,10002110,007,4175
宜蘭縣大同鄉茂安村,呂國華,林聰賢,0.82352941176471,126,27,10002,10002110,010,472
宜蘭縣大同鄉四季村,呂國華,林聰賢,0.88214904679376,509,68,10002,10002110,008,470
宜蘭縣大同鄉南山村,呂國華,林聰賢,0.70242914979757,347,147,10002,10002110,009,471
宜蘭縣南澳鄉東岳村,呂國華,林聰賢,0.86274509803922,308,49,10002,10002120,003,475
宜蘭縣南澳鄉南澳村,呂國華,林聰賢,0.85767790262172,687,114,10002,10002120,001,473
宜蘭縣南澳鄉碧候村,呂國華,林聰賢,0.87758346581876,552,77,10002,10002120,002,474
宜蘭縣南澳鄉金岳村,呂國華,林聰賢,0.91901408450704,261,23,10002,10002120,004,476
宜蘭縣南澳鄉武塔村,呂國華,林聰賢,0.76306620209059,219,68,10002,10002120,005,3951
宜蘭縣南澳鄉金洋村,呂國華,林聰賢,0.81987577639752,264,58,10002,10002120,006,477
宜蘭縣南澳鄉澳花村,呂國華,林聰賢,0.85975609756098,423,69,10002,10002120,007,478
桃園縣桃園市大林里,鄭文燦,吳志揚,0.46138032305433,1571,1834,10003,10003010,004,4016
桃園縣桃園市大豐里,鄭文燦,吳志揚,0.47904191616766,1040,1131,10003,10003010,043,4018
桃園縣桃園市建國里,鄭文燦,吳志揚,0.48225737494656,1128,1211,10003,10003010,042,3919
桃園縣桃園市雲林里,吳志揚,鄭文燦,0.54527938342967,1415,1180,10003,10003010,032,4017
桃園縣桃園市福安里,吳志揚,鄭文燦,0.50948509485095,940,905,10003,10003010,044,3925
桃園縣桃園市福林里,鄭文燦,吳志揚,0.4978919126102,1299,1310,10003,10003010,033,3975
桃園縣桃園市豐林里,鄭文燦,吳志揚,0.48372686662412,1516,1618,10003,10003010,041,3928
桃園縣桃園市中和里,鄭文燦,吳志揚,0.34704370179949,270,508,10003,10003010,020,3963
桃園縣桃園市中興里,鄭文燦,吳志揚,0.4469465648855,1171,1449,10003,10003010,040,3962
桃園縣桃園市文化里,鄭文燦,吳志揚,0.45618556701031,177,211,10003,10003010,001,3935
桃園縣桃園市文昌里,鄭文燦,吳志揚,0.38293650793651,193,311,10003,10003010,021,3915
桃園縣桃園市文明里,鄭文燦,吳志揚,0.49803407601573,380,383,10003,10003010,002,3943
桃園縣桃園市北門里,鄭文燦,吳志揚,0.41676234213548,363,508,10003,10003010,031,3954
桃園縣桃園市民生里,鄭文燦,吳志揚,0.44818652849741,346,426,10003,10003010,008,3905
桃園縣桃園市永興里,鄭文燦,吳志揚,0.36655948553055,342,591,10003,10003010,009,3966
桃園縣桃園市光興里,鄭文燦,吳志揚,0.455202892728,1133,1356,10003,10003010,034,3908
桃園縣桃園市西門里,鄭文燦,吳志揚,0.43633762517883,305,394,10003,10003010,019,3972
桃園縣桃園市西湖里,吳志揚,鄭文燦,0.50951086956522,375,361,10003,10003010,025,3913
桃園縣桃園市武陵里,鄭文燦,吳志揚,0.42586750788644,270,364,10003,10003010,003,3930
桃園縣桃園市長美里,鄭文燦,吳志揚,0.32962962962963,178,362,10003,10003010,007,3911
桃園縣桃園市南門里,鄭文燦,吳志揚,0.47205882352941,1284,1436,10003,10003010,026,3940
桃園縣桃園市南華里,鄭文燦,吳志揚,0.40261437908497,308,457,10003,10003010,027,3939
桃園縣桃園市中山里,吳志揚,鄭文燦,0.5146708961142,1298,1224,10003,10003010,023,3946
桃園縣桃園市中平里,吳志揚,鄭文燦,0.55660377358491,1003,799,10003,10003010,064,3945
桃園縣桃園市中正里,吳志揚,鄭文燦,0.52761506276151,1261,1129,10003,10003010,030,3904
桃園縣桃園市中成里,鄭文燦,吳志揚,0.47998240211175,1091,1182,10003,10003010,029,3869
